id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,num_leaves,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight
67TOGW15Y4,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,1,5,4,5,4
VPU16OXOLG,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,4,25,3,9
457JN9AIA2,105,inicialization,0.18350341907227397,1.0,0.0,2,1,2,1,5,7,2,8
Q9BD21IJXT,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,3,2,3,1,5,13,3,3
8TBWW0X18W,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,5,4,5,0,4,25,6,8
0QNBXUFTYO,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,3,30,4,8
BX78CRWVCY,105,inicialization,0.21553545944726393,0.2272727272727273,0.4571428571428571,3,2,3,0,5,6,3,5
V9HEA6YFEM,105,inicialization,0.0,1.0,0.0,4,3,4,1,3,14,6,8
E8J5GA277J,105,inicialization,0.18350341907227397,1.0,0.0,2,1,2,1,5,7,2,3
PZTGN0QPG1,105,inicialization,0.1679497056621564,1.0,0.5714285714285714,4,3,4,1,4,34,7,2
I5IBN9IYQX,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,4,32,5,7
8D0P8MQ9IS,105,inicialization,0.0,1.0,0.0,4,3,4,1,4,14,6,9
UZOT6WAHYH,105,inicialization,0.03923107716947716,1.0,0.25,6,5,6,1,5,2,6,6
V0D4SX88XQ,105,inicialization,0.0,1.0,0.0,4,3,4,1,3,15,4,8
XQD7LHSI4I,105,inicialization,0.08013378899220014,1.0,0.4,4,3,4,1,5,16,5,4
076J51PKAX,105,inicialization,0.08013378899220014,1.0,0.4,6,4,6,0,4,7,6,3
8AAYUEYCUH,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0,4,7,3,7
680KECSCX3,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0,4,38,6,7
H8IDWCD4Q2,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,2,1,2,0,4,26,2,1
RA9B5Q5YKD,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,3,39,3,7
VL3JECPQTE,105,inicialization,0.08013378899220014,1.0,0.4,5,4,5,0,4,30,6,2
0BH7M2P003,105,inicialization,0.08013378899220014,1.0,0.4,4,3,4,0,3,33,4,3
PXBBZMRY4G,105,inicialization,0.1679497056621564,1.0,0.5714285714285714,3,2,3,1,4,37,3,2
4JFL4Y9010,105,inicialization,0.18350341907227397,1.0,0.0,3,2,3,1,3,10,3,6
1NDEA3T2ZT,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,4,3,4,0,3,29,5,6
0PQP7EM4VI,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,3,2,3,1,4,25,6,4
7IQYRJWAPV,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,5,4,5,0,5,16,7,7
68H56RNFE7,105,inicialization,0.08013378899220014,1.0,0.4,4,3,4,0,4,37,4,4
5V4T18BDEE,105,inicialization,0.08013378899220014,1.0,0.4,5,3,5,0,4,10,5,3
CKTL6KZOBE,105,inicialization,0.18350341907227397,1.0,0.0,2,1,2,0,4,6,2,7
810Z1CUT82,105,inicialization,0.1679497056621564,1.0,0.5714285714285714,4,2,4,1,3,7,4,2
TRPX0TFHG5,105,inicialization,0.18350341907227397,1.0,0.0,2,1,2,1,4,26,2,7
4AKJND2UPW,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,4,3,4,0,3,14,4,6
AY9KK68RF9,105,inicialization,0.21553545944726382,0.13636363636363635,0.42857142857142855,2,1,2,0,3,13,2,3
YFSQKRYYJK,105,inicialization,0.18350341907227397,1.0,0.0,2,1,2,1,5,13,2,3
7L036XRAZM,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0,4,5,3,7
G17MMTICQS,105,inicialization,0.18350341907227397,1.0,0.0,2,1,2,1,4,26,2,7
TPXJ0NY0SV,105,inicialization,0.173101769405277,0.3181818181818182,0.3571428571428571,4,3,4,0,4,32,4,8
Y4KJCC9ZB1,105,inicialization,0.22650753184623817,0.3181818181818182,0.33333333333333337,3,2,3,0,5,4,3,6
