id,algorithm,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
VI1CITMICE,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,19,2,4.0
72SRF19C9O,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,24,2,4.0
FBP2NI46L8,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,23,2,4.0
MJ0XJWX8Q8,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,20,2,4.0
SB69K5W0IR,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,15,2,4.0
VM7ZFWCCZ3,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,21,2,4.0
ZIBRYJMV4V,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,19,2,5.0
AZ18TURKA1,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,21,2,5.0
ZS5GIHACS6,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,20,2,5.0
U0EIVOSPXP,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,23,2,3.0
KGZTJ86HBT,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,17,2,4.0
X81D9K97P0,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,25,2,4.0
CREY8BFOSX,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,22,2,4.0
41Y8EWNPRS,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,18,2,4.0
MP45TNFABZ,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,17,2,5.0
3AU68VHKRL,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,22,2,5.0
YAAZVE0HHA,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,22,2,3.0
083O8PW5OD,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,23,2,5.0
8CZ57IEG93,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,26,2,4.0
BAJBPA4QBY,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,26,2,5.0
3ZRSE34Q9W,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,18,2,5.0
E7OJB6XPL6,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,15,2,5.0
77OFDG4VS4,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,16,2,4.0
Y8BIVFOVVQ,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,28,2,4.0
LNJ8LZMIH0,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,14,2,4.0
9E48R2KQ4H,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,16,2,5.0
E85SC54506,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,24,2,5.0
HUJIAM5DYL,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,27,2,5.0
FZU4F05HGO,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,24,2,3.0
M2VU6RDRDX,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,12,2,4.0
URCYR0HF4C,nsga2,107,crossover,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,25,2,5.0
88X2189RSH,nsga2,107,mutation,0.3206337795132425,0.2777777777777778,0.0,2,1,2,0.2546440075000701,0.0,0.1477272727272727,2,0,3,28,2,5.0
H9O9HL0ZCN,nsga2,108,inicialization,0.0954659662667091,0.9,0.0749999999999999,3,2,3,0.17084380241115,0.0833333333333333,0.4880952380952381,3,1,3,23,3,1.0
4IY098LVTL,nsga2,108,crossover,0.0954659662667091,0.9,0.0749999999999999,3,2,3,0.17084380241115,0.0833333333333333,0.4880952380952381,3,0,3,10,3,2.0
VCT21ZRZOP,smsemoa,100,mutation,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,5,3,2.0
GFRWJCU7IX,smsemoa,100,mutation,0.1784161637422507,0.1111111111111111,0.1666666666666667,3,2,3,0.1393370341761296,0.1666666666666666,0.0761904761904762,3,0,3,17,3,1.0
HHQ8NB6BSZ,smsemoa,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,30,2,8.0
XUYPYK4EGA,smsemoa,101,crossover,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,1,4,25,2,7.0
77TRN8PGXJ,smsemoa,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,1,3,20,2,8.0
SDMWOMDE2F,smsemoa,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,0,3,24,2,8.0
0NNE6YBZDX,smsemoa,101,mutation,0.3545027756320972,1.0,0.0,2,1,2,0.1229419806929708,1.0,0.0,2,1,3,37,2,8.0
