id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
0HD951APVQ,101,crossover,0.23353269301811252,0.1596257215820687,0.0027803521779425355,0.2089349345645546,74,0.006790277363305751,12387.322280920509,0.16266442947203685,2
WM2WWRFVMR,101,crossover,0.23888762200271285,0.16685669267368705,0.0035227127863001195,0.20646686132404557,82,0.00500385699470122,13886.22478515815,0.1852738157669606,2
RB8I2UFXP9,101,crossover,0.69858633201178,0.0008632207364646988,0.06733333333333336,0.009711419095191798,57,0.00884055684679138,6275.401359324217,0.0941107802540802,8
BCQZMRQ8IU,101,crossover,0.2282513630174493,0.1215442983741854,0.004590729153364781,0.17111348846936558,85,0.003843698950819942,8493.697186290272,0.13269755469826677,3
TCPDV22DR9,101,inicialization,0.664666590636557,0.00016136942746972733,0.02428343949044587,0.01110834050562648,148,0.09508809914786849,77321.51910978729,0.46515925209796294,9
PO0PUSPGD0,101,mutation,0.26633808788648095,0.02597695447268139,0.158382934393137,0.022142276847837483,84,0.005246316382219523,14649.661625921322,0.18874078538740946,2
C3Y4KSHFYD,101,mutation,0.5708491188940324,0.0033965093467427333,0.0,0.025546099747159934,59,0.03584269274153136,31327.83104238179,0.4786425099676535,7
DQUH8PINCJ,101,crossover,0.41917906577345054,0.010678921347554514,0.12657316909894223,0.003416558747114329,78,0.006417636911398699,17439.553410403416,0.2126607146103183,2
JR9BDXJJ6I,101,crossover,0.23386810804036218,0.15914161329965953,0.0029940119760478723,0.2102346613471041,74,0.004979443009248241,11539.493977239266,0.18053014606631929,2
5A02DUHUZX,101,crossover,0.2411768258210183,0.12159292060342301,0.015509471063953173,0.1641684295761242,89,0.006871550873710984,19191.971662302676,0.2350831600457954,2
J6HUSTWR31,101,crossover,0.29080990608150004,0.06627033677588112,0.013598802784826614,0.11364196984687491,89,0.009818001388051998,26165.749203414507,0.2883373989145762,2
BSUIJMKS3K,101,mutation,0.24192539019735237,0.11993060409948812,0.00206896551724145,0.17247354295198192,80,0.004947674237913347,13765.795241074738,0.10686242648901184,2
G95FSS7Z9Q,101,mutation,0.5999276811344447,0.00048410828240918243,0.04807692307692313,0.01637695964479058,88,0.005900115393968621,3901.61390942154,0.19530719355656695,8
REQYFE8MOC,101,mutation,0.341053568873006,0.03356801192865357,0.0376080016074658,0.07109150237423012,100,0.007568446104211221,23721.415393847168,0.23212728032086558,3
O3YGY5ORJY,101,crossover,0.24510131577531924,0.09027386294450583,0.01097974480235564,0.14045897314210787,87,0.005859335857603189,16698.208566273115,0.20291692591027932,3
7RAI00UVUC,101,mutation,0.23698179065179248,0.07950016348343744,0.05745980163745107,0.1236228526690315,72,0.003960956886941374,7052.181576697421,0.11793691216712628,3
ZI2ZBZ6NFG,101,crossover,0.23152918686174717,0.05413380555618194,0.09415078690779627,0.10062526309580311,99,0.007548507879401811,17369.491967187343,0.22975670500795956,3
PEI418RFW8,101,crossover,0.5477780907292351,0.0018314373012830627,0.05231596360628621,0.023009655113241823,71,0.006720022786347375,4586.76654625722,0.13514321216347447,8
